sleeping.category,p20,urban,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,P20,Urban,2018,ARM,20166.5100965344,57121.1720339379,0.353047904629,P20 Urban
5 people per room or more,Not P20,Rural,2000,AZE,433385.271062567,4008617.41020833,0.108113403379157,Not P20 Rural
5 people per room or more,Not P20,Urban,2000,AZE,546265.060629735,4035627.01404188,0.135360641290441,Not P20 Urban
5 people per room or more,Not P20,Rural,2001,AZE,436756.033427266,4039795.43494295,0.108113403379157,Not P20 Rural
5 people per room or more,Not P20,Urban,2001,AZE,550513.773796674,4067015.11272725,0.135360641290441,Not P20 Urban
5 people per room or more,Not P20,Rural,2002,AZE,440027.18061026,4070052.0643779,0.108113403379157,Not P20 Rural
5 people per room or more,Not P20,Urban,2002,AZE,554636.92595149,4097475.60785721,0.135360641290441,Not P20 Urban
5 people per room or more,Not P20,Rural,2003,AZE,443373.712255085,4101005.96593151,0.108113403379158,Not P20 Rural
5 people per room or more,Not P20,Urban,2003,AZE,558855.097250616,4128638.07324532,0.135360641290441,Not P20 Urban
5 people per room or more,Not P20,Rural,2004,AZE,447272.165852597,4137064.89549679,0.108113403379158,Not P20 Rural
5 people per room or more,Not P20,Urban,2004,AZE,563768.944427714,4164939.96373766,0.135360641290441,Not P20 Urban
5 people per room or more,Not P20,Rural,2005,AZE,451867.925722039,4179573.59215972,0.108113403379157,Not P20 Rural
5 people per room or more,Not P20,Urban,2005,AZE,569561.718689666,4207735.07911778,0.135360641290441,Not P20 Urban
5 people per room or more,Not P20,Rural,2006,AZE,456859.45401609,4225742.96744565,0.108113403379157,Not P20 Rural
5 people per room or more,Not P20,Urban,2006,AZE,575853.343459238,4254215.53835314,0.135360641290441,Not P20 Urban
5 people per room or more,Not P20,Rural,2007,AZE,462069.058789008,4273929.45136058,0.108113403379158,Not P20 Rural
5 people per room or more,Not P20,Urban,2007,AZE,582419.845039131,4302726.69726382,0.135360641290441,Not P20 Urban
5 people per room or more,Not P20,Rural,2008,AZE,471874.423431367,4364624.63193843,0.108113403379157,Not P20 Rural
