sleeping.category,p20,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,P20,2012,BDI,630460.696605662,10009495.0747009,0.0629862637326392,P20
5 people per room or more,Not P20,2013,BDI,131731.634550375,2403136.56390822,0.0548165412356509,Not P20
5 people per room or more,P20,2013,BDI,614117.43148853,10109143.8945947,0.0607487080896036,P20
5 people per room or more,Not P20,2014,BDI,112319.69745984,2120861.07167781,0.0529594790341377,Not P20
5 people per room or more,P20,2014,BDI,595161.192120633,10285072.0695759,0.0578665067288318,P20
5 people per room or more,Not P20,2015,BDI,98608.8732342125,1901846.11794496,0.0518490283224198,Not P20
5 people per room or more,P20,2015,BDI,571044.054267171,10402834.3369528,0.0548931219868336,P20
5 people per room or more,Not P20,2016,BDI,93021.954498323,1720382.46745471,0.0540705083073465,Not P20
5 people per room or more,P20,2016,BDI,536150.743961727,10457626.3473801,0.051268875570033,P20
5 people per room or more,Not P20,2017,BDI,537371.786661424,4323144.00171752,0.124301153615964,Not P20
5 people per room or more,P20,2017,BDI,1555692.23841863,17294072.41373,0.0899552286587828,P20
5 people per room or more,Not P20,2018,BDI,514336.760609917,4044084.17643156,0.12718250614253,Not P20
5 people per room or more,P20,2018,BDI,1689760.00411056,18268580.8990668,0.092495416773006,P20
5 people per room or more,Not P20,2000,BEN,1936678.57222831,12622098.437779,0.153435546535723,Not P20
5 people per room or more,P20,2000,BEN,1627163.529425,7738635.88875755,0.210264903636168,P20
5 people per room or more,Not P20,2001,BEN,1983820.28614148,12956237.0540771,0.153117010584273,Not P20
5 people per room or more,P20,2001,BEN,1689152.19713501,8029128.3287394,0.210378029591192,P20
5 people per room or more,Not P20,2002,BEN,2048195.87237387,13307223.5270392,0.153916094383783,Not P20
5 people per room or more,P20,2002,BEN,1752350.44705915,8326014.5454563,0.210466897156149,P20
5 people per room or more,Not P20,2003,BEN,2013653.08347205,13076721.8546326,0.153987605292582,Not P20
5 people per room or more,P20,2003,BEN,1943489.17372683,9225138.44484924,0.210673171502586,P20
5 people per room or more,Not P20,2004,BEN,1957500.87871804,12856073.5744903,0.152262731492314,Not P20
5 people per room or more,P20,2004,BEN,2089950.8759081,10126458.6288973,0.206385169040648,P20
5 people per room or more,Not P20,2005,BEN,1923605.11084929,12501933.0130771,0.153864615082899,Not P20
5 people per room or more,P20,2005,BEN,2258707.38265287,11166896.2366195,0.202268144593833,P20
5 people per room or more,Not P20,2006,BEN,1905603.0409523,12407650.0004165,0.153582913838506,Not P20
5 people per room or more,P20,2006,BEN,2388004.18688182,11954369.6070675,0.199759942629683,P20
5 people per room or more,Not P20,2007,BEN,1314597.81651797,9361290.96524839,0.140429116176189,Not P20
5 people per room or more,P20,2007,BEN,1793998.06279515,9818802.83618321,0.182710468142216,P20
