birth.reg,p20,urban,povcal_year,iso3,value,total,percentage,demographic
Registered,Not P20,Urban,2003,ALB,2582608.74430474,2694356.43931383,0.958525274021446,Not P20 Urban
Registered,P20,Rural,2003,ALB,111377.14864011,118017.079685245,0.943737541524971,P20 Rural
Registered,P20,Urban,2003,ALB,30130.5938264326,32033.9236944409,0.940583929519111,P20 Urban
Registered,Not P20,Rural,2004,ALB,3118007.03930087,3215560.84623072,0.969661962066677,Not P20 Rural
Registered,Not P20,Urban,2004,ALB,2574504.55546126,2687189.02903521,0.958066041370227,Not P20 Urban
Registered,P20,Rural,2004,ALB,112103.719692518,118799.438379937,0.943638465141517,P20 Rural
Registered,P20,Urban,2004,ALB,30422.6443050012,32328.686354135,0.941041772367283,P20 Urban
Registered,Not P20,Rural,2005,ALB,3104953.27832993,3203145.22410102,0.969345147065989,Not P20 Rural
Registered,Not P20,Urban,2005,ALB,2553658.54081262,2667440.99224584,0.957343966834137,Not P20 Urban
Registered,P20,Rural,2005,ALB,112952.096341455,119713.204463847,0.943522453077148,P20 Rural
Registered,P20,Urban,2005,ALB,30765.564257504,32674.5791892917,0.941574919122039,P20 Urban
Registered,Not P20,Rural,2006,ALB,3081597.2445328,3179403.73270907,0.969237474571077,Not P20 Rural
Registered,Not P20,Urban,2006,ALB,2564486.18900118,2677894.84782099,0.957650070198952,Not P20 Urban
Registered,P20,Rural,2006,ALB,88483.0375353383,95221.9640849627,0.929229284289793,P20 Rural
Registered,P20,Urban,2006,ALB,30673.8517049001,32573.4553849711,0.941682463293487,P20 Urban
Registered,Not P20,Rural,2007,ALB,3069377.20494061,3171911.91907931,0.967674160962055,Not P20 Rural
Registered,Not P20,Urban,2007,ALB,2552814.83168465,2665983.47111419,0.957550884821408,Not P20 Urban
Registered,P20,Rural,2007,ALB,67946.0482394393,69622.9626764728,0.975914348189608,P20 Rural
Registered,P20,Urban,2007,ALB,30625.68507625,32515.6471300174,0.941875305565652,P20 Urban
Registered,Not P20,Rural,2008,ALB,3060055.06131786,3162016.6863684,0.967754241939928,Not P20 Rural
Registered,Not P20,Urban,2008,ALB,2535000.6675476,2647593.61538308,0.957473478111863,Not P20 Urban
Registered,P20,Rural,2008,ALB,50995.125736992,52662.2399414442,0.96834327202364,P20 Rural
Registered,P20,Urban,2008,ALB,30477.7463189814,32355.4583070723,0.941966144621713,P20 Urban
Registered,Not P20,Rural,2009,ALB,3015129.09852841,3115816.13149515,0.967685181436421,Not P20 Rural
