sleeping.category,p20,sex,povcal_year,iso3,value,total,percentage,demographic
5 people per room or more,Not P20,Female,2008,ALB,310536.950600439,2953857.94662643,0.105129277105251,Not P20 Female
5 people per room or more,P20,Female,2008,ALB,11441.0255492767,41851.1331169821,0.273374331760547,P20 Female
5 people per room or more,Not P20,Male,2009,ALB,206659.335412931,2823140.82732165,0.073201922274983,Not P20 Male
5 people per room or more,P20,Male,2009,ALB,12262.6238274866,64981.2730828151,0.188710119788797,P20 Male
5 people per room or more,Not P20,Female,2009,ALB,302473.214397475,2910581.83800898,0.103921906763627,Not P20 Female
5 people per room or more,P20,Female,2009,ALB,15675.8457487263,56334.0615865548,0.278265853858967,P20 Female
5 people per room or more,Not P20,Male,2010,ALB,118500.694109107,1782530.82344691,0.0664789032258979,Not P20 Male
5 people per room or more,P20,Male,2010,ALB,4246.35748577822,27358.5309088373,0.155211458536561,P20 Male
5 people per room or more,Not P20,Female,2010,ALB,150877.076018983,1773139.38830354,0.0850903640256594,Not P20 Female
5 people per room or more,P20,Female,2010,ALB,4800.43222272063,34750.6482912559,0.138139357357789,P20 Female
5 people per room or more,Not P20,Male,2011,ALB,118807.09249321,1753839.74147593,0.0677411337441978,Not P20 Male
5 people per room or more,P20,Male,2011,ALB,6130.2676109709,46784.8522899499,0.131031034852445,P20 Male
5 people per room or more,Not P20,Female,2011,ALB,143659.437493178,1733549.95638301,0.0828700880319125,Not P20 Female
5 people per room or more,P20,Female,2011,ALB,6275.73727224328,47187.4960038064,0.132995768025857,P20 Female
5 people per room or more,Not P20,Male,2012,ALB,115876.958744437,1706530.32132219,0.0679020802013397,Not P20 Male
5 people per room or more,P20,Male,2012,ALB,10972.4352929645,73776.2244925936,0.148725898735385,P20 Male
5 people per room or more,Not P20,Female,2012,ALB,136404.554388729,1695793.67475175,0.0804369991583425,Not P20 Female
5 people per room or more,P20,Female,2012,ALB,9553.57207422063,62705.660678183,0.152355815581807,P20 Female
5 people per room or more,Not P20,Male,2013,ALB,111388.795943192,1662119.50971485,0.0670161172479723,Not P20 Male
