educ.category,p20,povcal_year,iso3,value,total,percentage,demographic
Completed secondary education,Not P20,2016,AZE,5462734.26512538,9747351.42313707,0.560432678374416,Not P20
Completed secondary education,Not P20,2017,AZE,5516601.8487317,9843469.27222923,0.560432678374416,Not P20
Completed secondary education,Not P20,2018,AZE,5564616.94983397,9929144.32822623,0.560432678374416,Not P20
Completed secondary education,Not P20,2000,BDI,282136.47486784,2591580.54869713,0.10886656600725,Not P20
Completed secondary education,P20,2000,BDI,6146.9689694477,5804746.86714552,0.00105895556001574,P20
Completed secondary education,Not P20,2001,BDI,289255.514945518,2642802.98368319,0.109450275609418,Not P20
Completed secondary education,P20,2001,BDI,6134.33064106532,5927687.29497032,0.00103486070297101,P20
Completed secondary education,Not P20,2002,BDI,296194.918320309,2724409.16463317,0.10871895534832,Not P20
Completed secondary education,P20,2002,BDI,6298.3657897039,6082558.17017568,0.00103547974610196,P20
Completed secondary education,Not P20,2003,BDI,305303.281593161,2663375.45880318,0.114630207537601,Not P20
Completed secondary education,P20,2003,BDI,7277.16869548733,6396086.57644317,0.00113775331345407,P20
Completed secondary education,Not P20,2004,BDI,316208.753696612,2589647.59325516,0.122104936023029,Not P20
Completed secondary education,P20,2004,BDI,8038.84204936591,6734673.5034579,0.00119364985477594,P20
Completed secondary education,Not P20,2005,BDI,327804.828047059,2476335.03986021,0.132374990770863,Not P20
Completed secondary education,P20,2005,BDI,9620.24518517303,7105350.00807445,0.00135394388372715,P20
Completed secondary education,Not P20,2006,BDI,340006.981679959,2521247.58104867,0.134856641702176,Not P20
Completed secondary education,P20,2006,BDI,9998.56770300502,7341794.70043222,0.00136186969412484,P20
Completed secondary education,Not P20,2007,BDI,349158.578097781,2604684.73937956,0.134050226048067,Not P20
Completed secondary education,P20,2007,BDI,10235.5083444337,7631270.5502668,0.00134125874282833,P20
Completed secondary education,Not P20,2008,BDI,358731.489216121,2693362.66280969,0.133190934206349,Not P20
Completed secondary education,P20,2008,BDI,10484.7763735906,7928169.44992162,0.00132247127660651,P20
Completed secondary education,Not P20,2009,BDI,369428.295371963,2689586.89411072,0.137355032544546,Not P20
Completed secondary education,P20,2009,BDI,10778.4305497999,8307468.19370699,0.0012974386778832,P20
Completed secondary education,Not P20,2010,BDI,379188.767570724,2712467.12999436,0.139794788064957,Not P20
Completed secondary education,P20,2010,BDI,12332.8739763117,8662503.66214556,0.00142370779364923,P20
Completed secondary education,Not P20,2011,BDI,387970.66944073,2565467.11431456,0.151228081340808,Not P20
Completed secondary education,P20,2011,BDI,13430.0309561827,9189545.58191621,0.00146144668813779,P20
Completed secondary education,Not P20,2012,BDI,242653.53026574,1821743.35927961,0.13319852603261,Not P20
Completed secondary education,P20,2012,BDI,7472.07409757484,8014736.48550157,0.000932291923894393,P20
Completed secondary education,Not P20,2013,BDI,240285.18673903,1694147.82923596,0.141832479192442,Not P20
Completed secondary education,P20,2013,BDI,8324.58650559057,7916049.45894416,0.00105160870314988,P20
Completed secondary education,Not P20,2014,BDI,233930.983424117,1455291.76052452,0.160745075159227,Not P20
Completed secondary education,P20,2014,BDI,12931.6228919969,7858213.71084364,0.00164561863138851,P20
Completed secondary education,Not P20,2015,BDI,227981.279261013,1281782.0298742,0.177862751971478,Not P20
Completed secondary education,P20,2015,BDI,22219.2311256006,7734270.61385355,0.00287282825167789,P20
Completed secondary education,Not P20,2016,BDI,220182.107023458,1132552.03090508,0.194412354589572,Not P20
Completed secondary education,P20,2016,BDI,28647.7740861533,7536433.08131287,0.0038012377708478,P20
Completed secondary education,Not P20,2017,BDI,866633.949499822,3765439.86200815,0.23015477109164,Not P20
Completed secondary education,P20,2017,BDI,87391.7239782893,14089690.198835,0.00620252984593767,P20
Completed secondary education,Not P20,2018,BDI,864223.895676024,3517524.00437877,0.245690973139117,Not P20
Completed secondary education,P20,2018,BDI,122102.032478594,14894306.4970179,0.00819789981514351,P20
Completed secondary education,Not P20,2000,BEN,1783378.7722347,12580628.3497114,0.141755937991413,Not P20
Completed secondary education,P20,2000,BEN,77179.8943508766,7776477.09574401,0.0099247890015797,P20
Completed secondary education,Not P20,2001,BEN,1852004.21005236,12914327.3502659,0.143406943298075,Not P20
Completed secondary education,P20,2001,BEN,80451.2674322731,8067582.52979117,0.00997216540831042,P20
Completed secondary education,Not P20,2002,BEN,1916737.331249,13264236.3315083,0.144504160160047,Not P20
Completed secondary education,P20,2002,BEN,83652.4744565334,8365433.11883892,0.00999977804713403,P20
Completed secondary education,Not P20,2003,BEN,1984750.53598949,13002379.0678486,0.152645183287822,Not P20
Completed secondary education,P20,2003,BEN,98013.1388787595,9297711.33423227,0.0105416414164091,P20
Completed secondary education,Not P20,2004,BEN,2040918.41490938,12765617.5769783,0.159876198907134,Not P20
Completed secondary education,P20,2004,BEN,117054.452260751,10213588.3907536,0.011460658857833,P20
Completed secondary education,Not P20,2005,BEN,2091024.18841127,12407272.4625934,0.168532140703404,Not P20
Completed secondary education,P20,2005,BEN,159572.199978037,11265240.5550295,0.0141650059933069,P20
Completed secondary education,Not P20,2006,BEN,2174197.23378583,12311277.1607633,0.176602086476869,Not P20
Completed secondary education,P20,2006,BEN,185336.769458185,12053119.0046013,0.0153766646946265,P20
Completed secondary education,Not P20,2007,BEN,1611518.59947052,9266997.19057637,0.173898682208437,Not P20
Completed secondary education,P20,2007,BEN,139920.832542181,9799650.86622736,0.0142781446453763,P20
Completed secondary education,Not P20,2008,BEN,1640169.65693385,9200709.90252919,0.178265554974511,Not P20
Completed secondary education,P20,2008,BEN,147090.404799155,10150355.8315693,0.0144911574766353,P20
Completed secondary education,Not P20,2009,BEN,1650247.00169647,8764146.13529969,0.188295240200264,Not P20
Completed secondary education,P20,2009,BEN,177509.832058492,10790498.2410609,0.0164505686477959,P20
Completed secondary education,Not P20,2010,BEN,1646998.10547453,8411645.96339996,0.195799741529875,Not P20
Completed secondary education,P20,2010,BEN,207211.904157257,11384675.2305069,0.0182009499578874,P20
Completed secondary education,Not P20,2011,BEN,1650742.71190083,7786806.74919081,0.211992253701734,Not P20
Completed secondary education,P20,2011,BEN,241835.336858493,12274674.6252661,0.0197019753469229,P20
Completed secondary education,Not P20,2012,BEN,2312328.51494848,11095659.0489389,0.208399384367314,Not P20
Completed secondary education,P20,2012,BEN,331622.511783245,15987164.7449631,0.0207430471302127,P20
Completed secondary education,Not P20,2013,BEN,1592765.45738087,8117329.84094265,0.196217905221393,Not P20
Completed secondary education,P20,2013,BEN,198853.864720553,12555227.3112992,0.0158383324961064,P20
Completed secondary education,Not P20,2014,BEN,1625381.33684204,8133130.30641919,0.199846956289288,Not P20
Completed secondary education,P20,2014,BEN,213915.42967382,12947601.0625649,0.0165216265654268,P20
Completed secondary education,Not P20,2015,BEN,1648124.13477414,8144723.02499093,0.2023548412533,Not P20
Completed secondary education,P20,2015,BEN,219628.19319679,13284131.1208238,0.0165331244625031,P20
Completed secondary education,Not P20,2016,BEN,1676588.58088834,8268973.37917036,0.202756558040408,Not P20
Completed secondary education,P20,2016,BEN,224091.591158717,13539991.9699577,0.0165503488965081,P20
Completed secondary education,Not P20,2017,BEN,1702350.78451851,8386980.3822234,0.202975410330841,Not P20
Completed secondary education,P20,2017,BEN,229525.130455056,13810025.514191,0.0166201814920037,P20
Completed secondary education,Not P20,2018,BEN,3099959.72681869,12933322.8083312,0.239687802798968,Not P20
Completed secondary education,P20,2018,BEN,479883.835026036,20536353.2047627,0.0233675292901928,P20
Completed secondary education,Not P20,2000,BFA,179313.619073091,3704488.83968781,0.0484044160565489,Not P20
Completed secondary education,P20,2000,BFA,1014.75096901923,7886215.79213101,0.000128674004841685,P20
Completed secondary education,Not P20,2001,BFA,184513.940826323,4185686.41139406,0.0440821224265748,Not P20
Completed secondary education,P20,2001,BFA,1044.18003060185,7741163.31494528,0.000134886707348744,P20
Completed secondary education,Not P20,2002,BFA,190278.39203503,4670234.41554414,0.0407427925676959,Not P20
Completed secondary education,P20,2002,BFA,693.847985179372,7604610.78177092,9.12404336120135e-05,P20
Completed secondary education,Not P20,2003,BFA,195874.184354859,4944263.68372366,0.0396164518894229,Not P20
