handwashing,p20,sex,povcal_year,iso3,value,total,percentage,demographic
no soap and water,Not P20,Female,2016,AFG,2804062.15612825,5878446.16665936,0.477007371783377,Not P20 Female
no soap and water,P20,Female,2016,AFG,8344686.06114062,9938143.47717256,0.839662466164627,P20 Female
no soap and water,Not P20,Male,2017,AFG,2976176.37510224,6108934.12492838,0.4871842311996,Not P20 Male
no soap and water,P20,Male,2017,AFG,9217580.031329,10878136.0484864,0.847349214078962,P20 Male
no soap and water,Not P20,Female,2017,AFG,2854020.87029971,5998341.29837207,0.475801680553636,Not P20 Female
no soap and water,P20,Female,2017,AFG,8582487.08324465,10226489.4839257,0.83924078704964,P20 Female
no soap and water,Not P20,Male,2018,AFG,3027415.98227007,6229417.65607323,0.485986997407143,Not P20 Male
no soap and water,P20,Male,2018,AFG,9460627.45812166,11167622.5323549,0.847147853601991,P20 Male
no soap and water,Not P20,Female,2018,AFG,2889798.81818336,6100660.38329283,0.47368623011655,Not P20 Female
no soap and water,P20,Female,2018,AFG,8822720.5540194,10515744.346219,0.839001050571533,P20 Female
no soap and water,Not P20,Male,2000,AGO,875183.969991818,2561896.40607541,0.341615674980597,Not P20 Male
no soap and water,P20,Male,2000,AGO,325467.384072648,541003.475250882,0.601599433204597,P20 Male
no soap and water,Not P20,Female,2000,AGO,872493.76533883,2654102.60867606,0.32873399938899,Not P20 Female
no soap and water,P20,Female,2000,AGO,335191.435333668,557742.394294913,0.600978944333989,P20 Female
no soap and water,Not P20,Male,2001,AGO,894367.458138273,2618923.32444004,0.341501963723775,Not P20 Male
no soap and water,P20,Male,2001,AGO,346581.265030129,588118.947087263,0.589304709101141,P20 Male
no soap and water,Not P20,Female,2001,AGO,887734.023307962,2709380.34065953,0.327652050170211,Not P20 Female
no soap and water,P20,Female,2001,AGO,360484.622921494,610263.569255737,0.590703166766341,P20 Female
no soap and water,Not P20,Male,2002,AGO,916206.471919247,2689014.18121238,0.340722067708159,Not P20 Male
no soap and water,P20,Male,2002,AGO,366752.046171084,626595.983264473,0.585308645389586,P20 Male
no soap and water,Not P20,Female,2002,AGO,907862.668091335,2773390.65472292,0.327347561565226,Not P20 Female
no soap and water,P20,Female,2002,AGO,382611.881518193,658633.047576769,0.580918134803426,P20 Female
no soap and water,Not P20,Male,2003,AGO,933654.523190054,2743699.80982948,0.340290333456006,Not P20 Male
no soap and water,P20,Male,2003,AGO,393393.394183281,685852.667159556,0.573582947213009,P20 Male
no soap and water,Not P20,Female,2003,AGO,923557.37902619,2832516.28115081,0.326055452945521,Not P20 Female
no soap and water,P20,Female,2003,AGO,411264.861393313,717450.332962325,0.573231124857405,P20 Female
no soap and water,Not P20,Male,2004,AGO,953812.171399481,2807999.92717402,0.339676708025916,Not P20 Male
no soap and water,P20,Male,2004,AGO,419859.219111032,742043.788820111,0.565814612879693,P20 Male
no soap and water,Not P20,Female,2004,AGO,937019.971682517,2893040.04717747,0.32388766017833,Not P20 Female
no soap and water,P20,Female,2004,AGO,444698.878915377,781648.342919891,0.568924482401101,P20 Female
no soap and water,Not P20,Male,2005,AGO,963553.461653636,2844227.69822416,0.338775078470422,Not P20 Male
no soap and water,P20,Male,2005,AGO,459582.092633204,833648.587476316,0.551289955428924,P20 Male
no soap and water,Not P20,Female,2005,AGO,952824.473109094,2945838.04926955,0.323447676746981,Not P20 Female
no soap and water,P20,Female,2005,AGO,478648.320091777,861171.207092043,0.55581087262317,P20 Female
no soap and water,Not P20,Male,2006,AGO,1006945.3914831,2968870.23475283,0.339167869210333,Not P20 Male
no soap and water,P20,Male,2006,AGO,468645.21330854,844568.110187674,0.554893332645962,P20 Male
no soap and water,Not P20,Female,2006,AGO,996021.714882761,3072149.448403,0.324210046292026,Not P20 Female
no soap and water,P20,Female,2006,AGO,488213.429337597,875181.551880412,0.557842459417275,P20 Female
no soap and water,Not P20,Male,2007,AGO,1058825.00445368,3107421.42854543,0.340740716636336,Not P20 Male
no soap and water,P20,Male,2007,AGO,472088.583288451,848990.708620915,0.556058598162167,P20 Male
no soap and water,Not P20,Female,2007,AGO,1042688.60401265,3213611.06390445,0.324460111469064,Not P20 Female
no soap and water,P20,Female,2007,AGO,497193.625050602,881713.6447419,0.563894670356545,P20 Female
no soap and water,Not P20,Male,2008,AGO,1105803.18831936,3251853.10008988,0.340053241731243,Not P20 Male
no soap and water,P20,Male,2008,AGO,482982.468513298,854120.552753115,0.565473418191946,P20 Male
no soap and water,Not P20,Female,2008,AGO,1087256.6585352,3352986.48521427,0.324265147900148,Not P20 Female
no soap and water,P20,Female,2008,AGO,510836.674972597,897150.955113746,0.569398797449678,P20 Female
no soap and water,Not P20,Male,2009,AGO,1100011.47262135,3255110.16909244,0.337933715136911,Not P20 Male
no soap and water,P20,Male,2009,AGO,548724.246588332,1005795.25541388,0.545562572138538,P20 Male
no soap and water,Not P20,Female,2009,AGO,1085762.08627344,3371248.95438033,0.322065234862792,Not P20 Female
no soap and water,P20,Female,2009,AGO,572632.518595962,1039260.02729615,0.551000234355002,P20 Female
no soap and water,Not P20,Male,2010,AGO,1092132.18535263,3264729.29459744,0.334524576711433,Not P20 Male
no soap and water,P20,Male,2010,AGO,618261.188828333,1155520.91359282,0.535049761155767,P20 Male
no soap and water,Not P20,Female,2010,AGO,1080562.59747811,3390184.68987341,0.318732663947716,Not P20 Female
no soap and water,P20,Female,2010,AGO,639850.875037516,1185263.789305,0.539838372530308,P20 Female
no soap and water,Not P20,Male,2011,AGO,1043769.24424179,3210084.38839829,0.325153210306283,Not P20 Male
no soap and water,P20,Male,2011,AGO,729925.813289426,1373759.34349919,0.531334557791022,P20 Male
no soap and water,Not P20,Female,2011,AGO,1032373.65386168,3344078.33845668,0.308716946606619,Not P20 Female
no soap and water,P20,Female,2011,AGO,751712.345987519,1400707.55466783,0.536666160957332,P20 Female
no soap and water,Not P20,Male,2012,AGO,1048480.57374007,3264058.28736492,0.32121992974167,Not P20 Male
no soap and water,P20,Male,2012,AGO,790189.853938785,1487704.3559116,0.531147099757325,P20 Male
no soap and water,Not P20,Female,2012,AGO,1045821.97623853,3417234.08113439,0.306043411545092,Not P20 Female
no soap and water,P20,Female,2012,AGO,803620.042799672,1501366.48118485,0.535259080891077,P20 Female
